p_lat	p_lng
42.1324	8.1697
41.9835	9.8152
42.0485	9.6569
42.0682	9.4786
42.0529	8.9955
42.0794	9.5291
42.0496	9.6577
42.0433	9.6478
42.0758	9.5462
41.7057	7.2717
40.6218	10.9513
40.8347	12.239
41.0991	11.8523
41.1545	13.2468
40.8622	12.2165
40.6705	11.1489
40.629	10.9466
40.6218	10.9513
41.0217	11.9214
41.6024	10.2796
41.6698	8.9336
41.7517	9.7454
41.4994	10.2192
41.6507	9.8918
41.2023	8.384
41.5059	10.5645
41.4601	10.2632
41.5254	10.5353
41.5015	10.2242
41.5936	10.2318
41.5827	9.752
41.7498	8.9346
41.5385	10.5442
41.2184	8.156
41.4566	9.1028
41.4993	10.1416
41.6384	9.7263
41.6646	10.2955
41.6489	9.8346
41.7177	9.7445
41.6489	9.8346
41.5461	10.5187
43.9133	17.3129
43.905	15.5715
43.6589	15.3058
43.7321	15.3078
43.3376	15.3089
43.6775	15.5201
43.5077	15.7525
43.7972	15.3062
37.4977	14.603
37.4977	14.603
37.4977	14.603
37.0111	34.4116
42.2625	9.3097
43.0047	8.4639
42.1685	9.5353
42.1893	9.4544
42.9901	8.4358
33.4921	7.973
33.5062	8.0688
34.5899	14.1681
32.325	10.7009
37.761	14.4188
42.2408	8.0949
41.7668	7.5505
42.0961	9.744
41.8283	7.0734
38.58	15.6679
42.1608	9.585
42.1153	9.7141
42.18	9.4064
42.1635	8.9225
37.761	14.4188
42.3208	8.0941
42.1618	9.5858
42.1635	9.5747
42.1556	9.5759
43.0673	8.4425
40.5206	12.2529
40.3828	12.2639
40.4287	12.3446
42.0416	9.4709
41.824	7.111
42.7333	7.6502
38.5969	15.6876
47.5741	20.1093
42.2306	9.0044
42.6265	8.952
37.761	14.4188
37.761	14.4188
37.761	14.4188
43.9569	25.6229
43.5516	17.4129
43.5516	17.4129
43.5516	17.4129
43.5516	17.4129
43.5516	17.4129
43.5516	17.4129
43.5516	17.4129
43.5516	17.4129
43.5516	17.4129
32.586	9.4798
41.5744	10.2709
41.564	10.3876
41.4618	10.5321
41.3099	10.8613
41.5361	10.4021
41.5688	9.5791
41.3084	10.779
41.4509	10.3669
41.4605	10.4751
41.53	10.3863
42.0103	9.6012
42.068	8.2459
41.5965	7.6991
41.9158	9.8892
41.9812	9.7313
41.9351	9.8595
42.148	8.2458
42.0123	9.6037
41.9822	9.7321
41.976	9.7221
42.0087	9.6208
42.0536	9.1528
41.6104	7.5018
40.8665	12.2613
41.1861	13.2698
40.8939	12.2388
40.6609	10.9682
29.9951	11.3617
30.3502	9.3163
41.5334	7.8085
42.0842	8.3558
41.5734	10.0958
41.7168	9.8691
41.5341	10.14
41.7954	10.4441
41.7387	10.1719
41.6205	10.3956
41.7495	8.7955
41.7244	9.8563
41.8296	8.7963
41.5366	8.9655
42.4376	8.8725
41.7299	9.6977
42.0816	9.4617
42.0018	9.609
41.9866	9.6859
42.0078	9.6054
42.0655	8.2501
41.5941	7.7033
41.9133	9.8933
42.0022	9.6259
41.9326	9.8637
41.9987	9.5574
41.9844	9.0748
42.0098	9.6078
41.9797	9.7362
41.86	9.6206
37.5575	14.5224
42.0511	9.157
43.5823	15.6438
43.8713	15.1964
43.5515	15.4578
44.2552	25.7029
44.0498	25.7263
43.9909	25.7186
41.1325	13.0458
40.8369	12.0174
40.6418	10.9513
40.5997	10.7493
40.9955	11.7215
42.0066	8.3515
41.5358	7.8043
41.8526	9.9929
41.872	9.9633
41.9246	9.1752
42.0867	8.3516
41.9192	9.836
42.1547	9.6195
41.7945	8.524
41.9913	9.2575
42.5679	16.872
43.7266	15.316
43.672	15.5282
43.583	15.3302
43.5022	15.7605
43.7917	15.3144
43.4691	15.4619
42.0459	8.2839
41.9645	9.1082
42.0312	9.1905
NA	NA
NA	NA
35.9009	11.3461
