Occurrence_Number	Taxon_name	Latitude	Longitude	Paleo_Latitude	Paleo_Longitude	Min_Ma	Max_Ma	Original_Assignment
210	Cypridea quadrata	42.8761	-108.773	43.792	-65.513	98	124	NAm
211	Cypridea quadrata	43.1259	-109.6248	44.2034	-66.2506	98	124	NAm
212	Cypridea quadrata	43.0803	-108.8969	44.0131	-65.5564	98	124	NAm
213	Cypridea quadrata	42.7931	-111.0481	43.0492	-63.1204	115	124	NAm
214	Cypridea tilleyi	50.4348	-111.5333	51.2648	-62.7235	103	115	NAm
215	Cypridea wyomingensis	34.0579	-93.6919	31.5003	-53.5215	100.5	113	NAm
216	Cypridea wyomingensis	34.8986	-76.3667	28.8873	-37.2521	100.5	113	NAm
217	Cypridea wyomingensis	34.7306	-76.575	28.7619	-37.4852	100.5	113	NAm
218	Cypridea wyomingensis	36.3028	-75.925	30.1739	-36.4855	100.5	113	NAm
219	Cypridea wyomingensis	35.9986	-75.3333	29.7699	-36.0272	100.5	113	NAm
220	Cypridea wyomingensis	35.8833	-75.6708	29.7184	-36.3643	100.5	113	NAm
221	Cypridea wyomingensis	35.8639	-75.925	29.7463	-36.6002	100.5	113	NAm
222	Cypridea wyomingensis	35.7033	-75.5983	29.5297	-36.3445	100.5	113	NAm
223	Cypridea wyomingensis	35.3069	-75.8292	29.186	-36.6568	100.5	113	NAm
224	Cypridea wyomingensis	53.8696	-113.0667	54.8116	-62.1873	103	115	NAm
225	Cypridea wyomingensis	42.5542	-110.8076	43.2375	-68.3987	105	110	NAm
226	Cypridea wyomingensis	43.6088	-111.1461	44.321	-68.4094	105	110	NAm
227	Cypridea wyomingensis	44.62	-114.7959	45.8947	-71.7059	105	110	NAm
228	Cypridea wyomingensis	44.62	-114.7959	45.8947	-71.7059	105	110	NAm
229	Cypridea wyomingensis	44.62	-114.7959	45.8947	-71.7059	105	110	NAm
230	Cypridea wyomingensis	43.6088	-111.1461	44.321	-68.4094	105	110	NAm
231	Cypridea wyomingensis	43.2985	-110.7824	43.959	-68.1467	105	110	NAm
232	Cypridea wyomingensis	38.7304	-109.5365	39.5909	-66.2703	106.8	121.4	NAm
233	Cypridea wyomingensis	46.6678	-113.1493	48.1323	-67.5982	110	115	NAm
234	Cypridea wyomingensis	46.6678	-113.1493	48.1323	-67.5982	110	115	NAm
235	Cypridea wyomingensis	45.1768	-111.6854	46.4132	-66.7847	110	115	NAm
236	Kegelina anomala	45.0922	-110.7997	46.3268	-66.6206	98	124	NAm
237	Kegelina anomala	42.4448	-110.7925	42.4066	-70.862	99	105	NAm
238	Kegelina anomala	44.62	-114.7959	45.2008	-74.0665	99	105	NAm
239	Kegelina anomala	42.4834	-110.8069	42.4462	-70.8648	99	105	NAm
240	Kegelina anomala	42.0851	-110.9571	42.0842	-71.1339	99	105	NAm
241	Kegelina anomala	42.7728	-107.2523	42.8732	-62.9635	105	110	NAm
242	Kegelina anomala	42.5542	-110.8076	43.2375	-68.3987	105	110	NAm
243	Kegelina anomala	42.4917	-110.9449	43.1991	-68.5525	105	110	NAm
244	Kegelina anomala	43.6088	-111.1461	44.321	-68.4094	105	110	NAm
245	Kegelina anomala	42.4917	-110.9449	43.1991	-68.5525	105	110	NAm
246	Kegelina anomala	42.6819	-110.9248	43.3813	-68.4756	105	110	NAm
247	Kegelina anomala	43.1621	-111.2249	43.8979	-68.6255	105	110	NAm
248	Kegelina anomala	43.1194	-111.2167	43.8547	-68.6308	105	110	NAm
249	Kegelina anomala	43.1185	-111.1298	43.8396	-68.5453	105	110	NAm
250	Kegelina anomala	44.62	-114.7959	45.8947	-71.7059	105	110	NAm
251	Kegelina anomala	44.62	-114.7959	45.8947	-71.7059	105	110	NAm
252	Kegelina anomala	44.62	-114.7959	45.8947	-71.7059	105	110	NAm
253	Kegelina anomala	44.62	-114.7959	45.8947	-71.7059	105	110	NAm
254	Kegelina anomala	43.6088	-111.1461	44.321	-68.4094	105	110	NAm
255	Kegelina anomala	42.0851	-110.9571	42.8039	-68.6857	105	110	NAm
256	Kegelina anomala	45.1768	-111.6854	46.4132	-66.7847	110	115	NAm
257	Kegelina anomala	45.3716	-112.461	46.7539	-67.4674	110	115	NAm
258	Kegelina anomala	46.6678	-113.1493	48.1323	-67.5982	110	115	NAm
259	Kegelina anomala	45.3716	-112.461	46.7539	-67.4674	110	115	NAm
260	Kegelina anomala	46.6678	-113.1493	48.1323	-67.5982	110	115	NAm
261	Kegelina anomala	45.1768	-111.6854	46.4132	-66.7847	110	115	NAm
262	Kegelina anomala	53.3538	-114.4841	53.9651	-59.9626	113	121.4	NAm
263	Praecypridea acuticyatha	36.8918	-102.9621	32.3228	-51.2367	149.2	154.8	NAm
264	Praecypridea acuticyatha	36.8918	-102.9621	32.3228	-51.2367	149.2	154.8	NAm
265	Cypridea acicularis	-12.6088	-38.6428	-9.9823	-5.2286	136.1	143.9	SAm
266	Cypridea acicularis	-12.6088	-38.6428	-9.9823	-5.2286	136.1	143.9	SAm
267	Cypridea acicularis	-8.8086	-37.8114	-6.1293	-4.7115	136.1	143.9	SAm
268	Cypridea altilis	-12.6088	-38.6428	-10.5376	-5.4514	130.9	140.2	SAm
269	Cypridea ambigua	-12.6088	-38.6428	-9.5594	-5.062	142.8	143.9	SAm
270	Cypridea ambigua	-10.0575	-38.3572	-6.9924	-5.0198	142.8	143.9	SAm
271	Cypridea ambigua	-10.0055	-38.3462	-6.9396	-5.0138	142.8	143.9	SAm
272	Cypridea ambigua	-6.7465	-38.3146	-3.6917	-5.2854	142.8	143.9	SAm
273	Cypridea amerikana	-43.8636	-69.0234	-47.7378	-39.3431	101.6	118.5	SAm_Arg
274	Cypridea amerikana	-43.8636	-69.0234	-47.7378	-39.3431	101.6	118.5	SAm_Arg
275	Cypridea araripensis	-7.2916	-39.393	-9.3852	-8.4646	110.5	117.2	SAm
276	Cypridea araripensis	-7.5717	-39.1631	-9.6578	-8.2244	110.5	117.2	SAm
277	Cypridea araripensis	-5.3405	-35.6052	-6.2608	-3.5082	113	121.4	SAm
278	Cypridea araripensis	-7.2916	-39.393	-7.4615	-6.9369	117.2	123.6	SAm
279	Cypridea araripensis	-7.2275	-39.4529	-6.6232	-6.9501	121.4	125.8	SAm
280	Cypridea araripensis	-7.2275	-39.4529	-6.6232	-6.9501	121.4	125.8	SAm
281	Cypridea araripensis	-7.1761	-39.4836	-6.5717	-6.9819	121.4	125.8	SAm
282	Cypridea araripensis	-7.2916	-39.393	-6.6863	-6.8892	121.4	125.8	SAm
283	Cypridea araripensis	-8.5698	-37.7555	-7.9395	-5.2342	121.4	125.8	SAm
284	Cypridea araripensis	-7.1838	-39.7377	-6.5836	-7.2354	121.4	125.8	SAm
285	Cypridea araripensis	-7.2968	-39.3014	-6.6899	-6.7973	121.4	125.8	SAm
286	Cypridea araripensis	-7.1173	-39.6976	-6.5159	-7.1965	121.4	125.8	SAm
287	Cypridea araripensis	-7.2483	-39.453	-6.6432	-6.9498	121.4	125.8	SAm
288	Cypridea araripensis	-7.2509	-39.4287	-6.6458	-6.9258	121.4	125.8	SAm
289	Cypridea araripensis	-7.2482	-39.4468	-6.6431	-6.9438	121.4	125.8	SAm
290	Cypridea australis	-39.4982	-70.2848	-39.6	-36.6266	117.2	125.8	SAm_Arg
291	Cypridea australis	-39.4982	-70.2848	-38.9015	-36.5153	121.4	125.8	SAm_Arg
292	Cypridea australis	-39.4982	-70.2848	-38.9015	-36.5153	121.4	125.8	SAm_Arg
293	Cypridea australis	-39.4982	-70.2848	-38.9015	-36.5153	121.4	125.8	SAm_Arg
294	Cypridea australis	-39.4982	-70.2848	-38.9015	-36.5153	121.4	125.8	SAm_Arg
295	Cypridea australis	-39.4443	-70.2151	-38.845	-36.4493	121.4	125.8	SAm_Arg
296	Cypridea australis	-39.519	-69.2849	-38.886	-35.5239	121.4	125.8	SAm_Arg
297	Cypridea australis	-39.519	-69.2849	-38.886	-35.5239	121.4	125.8	SAm_Arg
298	Cypridea australis	-44.443	-69.9847	-43.8296	-35.894	121.4	125.8	SAm_Arg
299	Cypridea australis	-39.4443	-70.2151	-38.6359	-34.365	131	134	SAm_Arg
300	Cypridea bibullata	-12.6088	-38.6428	-11.8598	-6.0015	123.6	125.8	SAm
301	Cypridea bibullata	-12.6088	-38.6428	-11.8598	-6.0015	123.6	125.8	SAm
302	Cypridea bibullata	-12.6088	-38.6428	-11.8598	-6.0015	123.6	125.8	SAm
303	Cypridea bibullata	-8.773	-37.8212	-8.0087	-5.2581	123.6	125.8	SAm
304	Cypridea bubonulata	-12.6088	-38.6428	-9.724	-5.1265	140.2	143.9	SAm
305	Cypridea candeiensis	-12.6088	-38.6428	-9.8502	-5.1763	140.2	141.9	SAm
