Occurrence_Number	Taxon_name	Latitude	Longitude	Paleo_Latitude	Paleo_Longitude	Min_Ma	Max_Ma	Original_Assignment	region	globe
171	Cypridea_longispina	43.4333	-103.4844	40.3906	-51.9586	132.6	142.4	NAm	NA	NA
172	Cypridea_longispina	43.3516	-103.6045	40.3311	-52.0939	132.6	142.4	NAm	NA	NA
173	Cypridea_longispina	44.3906	-104.6724	41.5171	-52.776	132.6	142.4	NAm	NA	NA
174	Cypridea_longispina	43.2802	-103.4191	40.2309	-51.9429	132.6	142.4	NAm	NA	NA
175	Cypridea_longispina	38.8756	-109.4465	37.0376	-62.9415	133.7	142.5	NAm	NA	Global
176	Cypridea_longispina	38.8302	-109.7634	37.041	-63.2561	133.7	142.5	NAm	NA	Global
177	Cypridea_menevoides	35.4389	-75.5764	29.2684	-36.3925	100.5	113	NAm	NA	NA
178	Cypridea_minuta	43.2786	-103.6292	42.3934	-55.4026	113	117.2	NAm	NA	NA
179	Cypridea_minuta	43.5087	-103.3379	42.5549	-55.04	113	117.2	NAm	NA	NA
180	Cypridea_minuta	43.4773	-103.3027	42.5171	-55.0191	113	117.2	NAm	NA	NA
181	Cypridea_minuta	43.4435	-103.4627	42.518	-55.1829	113	117.2	NAm	NA	NA
182	Cypridea_nitidula	42.0851	-110.9571	42.0842	-71.1339	99	105	NAm	NA	Global
183	Cypridea_nitidula	42.4917	-110.9449	43.1991	-68.5525	105	110	NAm	NA	Global
184	Cypridea_nitidula	43.6088	-111.1461	44.321	-68.4094	105	110	NAm	NA	Global
185	Cypridea_nitidula	44.62	-114.7959	45.8947	-71.7059	105	110	NAm	NA	NA
186	Cypridea_nitidula	44.62	-114.7959	45.8947	-71.7059	105	110	NAm	NA	NA
187	Cypridea_nitidula	44.62	-114.7959	45.8947	-71.7059	105	110	NAm	NA	NA
188	Cypridea_nitidula	43.6088	-111.1461	44.321	-68.4094	105	110	NAm	NA	Global
189	Cypridea_obesa	43.7987	-107.0654	44.0334	-60.5306	98	124	NAm	NA	Global
190	Cypridea_obesa	42.7883	-108.7826	43.7094	-65.5561	98	124	NAm	NA	Global
191	Cypridea_obesa	42.8761	-108.773	43.792	-65.513	98	124	NAm	NA	Global
192	Cypridea_obesa	43.2786	-103.6292	42.3934	-55.4026	113	117.2	NAm	NA	NA
193	Cypridea_pecki	40.6461	-116.1353	40.0321	-67.1232	113	121.4	NAm	NA	NA
